,uen,entity_name,entity_status_description,block,address,level_no,unit_no,building_name,postal_code,primary_ssic_code,primary_ssic_description,secondary_ssic_code,secondary_ssic_description
0,53394557K,amrita trading,Live,730,WOODLANDS CIRCLE,2,Feb-25,na,730730,46413,Wholesale of children and infants͛ clothing,na,na
1,53400563B,absolute costumez,Live,62,UBI ROAD 1,1,17,OXLEY BIZHUB 2,408734,46413,Wholesale of children and infants͛ clothing,77292,SALE OF CHILDREN'S COSTUMES
2,53488916J,annie kids wholesale shop,Live,534,BEDOK NORTH STREET 3,3,856,na,460534,46413,Wholesale of children and infants͛ clothing,na,KIDS AND INFANTS CLOTHING WHOLESALER
3,T21LL0478G,arkk trading limited liability partnership,Live,38,ANG MO KIO INDUSTRIAL PARK 2,6,7,na,569511,46413,Wholesale of children and infants͛ clothing,63201,na
4,53426898J,baby shoppaholics,Live,21,BUKIT BATOK CRESCENT,20,73,WCEGA TOWER,658065,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
5,53491556J,bundles of joy sg,Live,30,SEMBAWANG DRIVE,10,8,SUN PLAZA,757713,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
6,T18LL1884D,bh fashion llp,Live,2,KALLANG PUDDING ROAD,6,13,MACTECH BUILDING,349307,46413,Wholesale of children and infants͛ clothing,46412,na
7,200918572D,carrots and peas,Live Company,182,CECIL STREET,23,2,FRASERS TOWER,69547,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
8,201912522G,crayonsky,Live Company,842E,TAMPINES STREET 82,3,120,TAMPINES ARCADIA,525842,46413,Wholesale of children and infants͛ clothing,na,na
9,202322647D,cheeky roos,Live Company,31,SELETAR TERRACE,na,na,na,806932,46413,Wholesale of children and infants͛ clothing,46900,na
10,53452520B,cuddles and snuggles,Live,116,HOUGANG AVENUE 1,11,1192,na,530116,46413,Wholesale of children and infants͛ clothing,81212,ONLINE SHOP FOR CHILDREN AND INFANTS'CLOTHING
11,202439314E,db glory,Live Company,36,ROBINSON ROAD,21,1,CITY HOUSE,68877,46413,Wholesale of children and infants͛ clothing,74193,na
12,201915814H,ecolife,Live Company,810,GEYLANG ROAD,2,42,CITY PLAZA,409286,46413,Wholesale of children and infants͛ clothing,na,na
13,202511865H,elly issey,Live Company,16,SIMS DRIVE,11,57,SIMS URBAN OASIS,387393,46413,Wholesale of children and infants͛ clothing,na,na
14,53138984K,excella enterprise,Live,400,ORCHARD ROAD,4,37,ORCHARD TOWERS,238875,46413,Wholesale of children and infants͛ clothing,47219,WHOLESALE OF CHILDREN AND INFANT'S WEAR
15,199404396G,fransindo international,Live Company,6,UBI ROAD 1,3,9-Oct,WINTECH CENTRE,408726,46413,Wholesale of children and infants͛ clothing,70201,na
16,202334286R,futuretex,Live Company,10,ANSON ROAD,33,17,INTERNATIONAL PLAZA,79903,46413,Wholesale of children and infants͛ clothing,63201,na
17,200309055N,global outsource solutions,Live Company,601,SIMS DRIVE,na,na,PAN-I COMPLEX,387382,46413,Wholesale of children and infants͛ clothing,46900,DISTRIBUTION OF CHILDREN AND INFANTS' PRODUCTS AND ACCESSORIES
18,201503003D,happy coast,Live Company,2,FIFTH AVENUE,4,11,FIFTH AVENUE CONDOMINIUM,268800,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
19,201523478C,hqe fashion enterprise,Live Company,706,JURONG WEST STREET 71,9,70,na,640706,46413,Wholesale of children and infants͛ clothing,96099,46412
20,201836546N,hushmoo,Live Company,107,TAMPINES ROAD,6,3,THE TEMBUSU,535129,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
21,202410282N,happy parenting club singapore,Live Company,22,SIN MING LANE,6,76,MIDVIEW CITY,573969,46413,Wholesale of children and infants͛ clothing,82303,INCLUDING ALSO BABY FOOD
22,202510290H,h4tch,Live Company,11,HUME AVENUE,7,21,HUME PARK I,598723,46413,Wholesale of children and infants͛ clothing,na,na
23,53070612A,happy children enterprise,Live,865,MOUNTBATTEN ROAD,2,81M,KATONG SHOPPING CENTRE,437844,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
24,202323049N,indeecotton,Live Company,311,CANBERRA ROAD,14,157,na,750311,46413,Wholesale of children and infants͛ clothing,46412,na
25,201504304N,jiaxin hometextile company,Live Company,16,COLLYER QUAY,12,1,COLLYER QUAY CENTRE,49318,46413,Wholesale of children and infants͛ clothing,na,na
26,202401401H,jihno qloey,Live Company,33,UBI AVENUE 3,4,23,VERTEX,408868,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
27,50865500E,jee seng garment fty,Live,705,SIMS DRIVE,3,11,SHUN LI INDUSTRIAL COMPLEX,387384,46413,Wholesale of children and infants͛ clothing,na,na
28,200601718W,kids designers club,Live Company,3,KALLANG JUNCTION,5,2,na,339265,46413,Wholesale of children and infants͛ clothing,na,"WHOLESALE & RETAIL OF ADULTS, CHILDREN AND INFANTS' WEAR"
29,201409607H,kiddos trading,Live Company,50,TAGORE LANE,4,11E,na,787494,46413,Wholesale of children and infants͛ clothing,na,"IMPORT , EXPORT AND SUPPLY CHILDREN FOOTWEAR."
30,202219292G,kids fashion brand pte limited,Live Company,111,NORTH BRIDGE ROAD,29,06A,PENINSULA PLAZA,179098,46413,Wholesale of children and infants͛ clothing,na,na
31,202324747K,kay ay,Live Company,160,ROBINSON ROAD,14,4,SINGAPORE BUSINESS FEDERATION CENTER,68914,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
32,52813154X,kidsper enterprise,Live,470C,FERNVALE LINK,26,426,FERNVALE RIVERGROVE,793470,46413,Wholesale of children and infants͛ clothing,46900,na
33,53480689M,khannel trading,Live,220,PETIR ROAD,6,343,na,670220,46413,Wholesale of children and infants͛ clothing,46620,BUYING AND SELLING OF CLOTHINGS
34,T20LL1002G,keeiro llp,Live,36,DAKOTA CRESCENT,2,8,DAKOTA RESIDENCES,399937,46413,Wholesale of children and infants͛ clothing,na,na
35,200901327M,liho design,Live Company,6,EU TONG SEN STREET,5,21,THE CENTRAL,59817,46413,Wholesale of children and infants͛ clothing,64202,DESIGN & WHOLESALE OF CHILDREN & WOMEN'S WEAR & ACCESSORIES
36,201831332G,les petits,Live Company,146,JALAN BUKIT MERAH,8,1070,na,160146,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
37,202005641Z,lil tiny,Live Company,32,PEKIN STREET,5,1,na,48762,46413,Wholesale of children and infants͛ clothing,74193,na
38,202136217D,littlebabybernice babystore,Live Company,1002,JALAN BUKIT MERAH,3,3-Apr,na,159456,46413,Wholesale of children and infants͛ clothing,46900,na
39,202412979M,little buebue,Live Company,31,WOODLANDS CLOSE,na,na,WOODLANDS HORIZON,737855,46413,Wholesale of children and infants͛ clothing,na,na
