account_name,website_link,address,phone_number,extra_phone,email_address,social_media_links,description,validation_passed,Record Id
Smart Alley,https://www.streetdirectory.com/smartalley/,nan,6440 9195,Not found,Not found,"https://www.facebook.com/smartalley.sg/, https://www.instagram.com/smartalley.com.sg/",Join us on our Facebook page at smartalley.sg! https://m.facebook.com/leonardtsl/ https://www.facebook.com/wendyuwennong.,Forced CSV fallback,zcrm_3877682000000246036
Go Go Bambini,https://www.yelp.com/biz/go-go-bambini-singapore,nan,6474 4176,+65 64744176,Not found,https://www.instagram.com/bambinibuddy/?hl=en,Nice adjoining cafe where tons of food options available for children and a private room you can book for parties also. By N.K.. Read more.,Forced CSV fallback,zcrm_3877682000000246050
Komoco Motors,https://hyundai.com.sg/contact/,nan,+65 6475 8888,"+65-64720018, +65-64759515",queries@komoco.com.sg,https://www.facebook.com/HyundaiSingapore/photos/komoco-service-has-opened-a-new-branch-in-kembangando-drop-by-to-service-your-ca/10154475685512135/,Not found,Forced CSV fallback,zcrm_3877682000000271003
Mummys Market,https://www.mummysmarket.com.sg/aboutus,Not found,+65 68128080,Not found,support@mummysmarket.com.sg,https://sg.linkedin.com/company/mummys-market-pte-ltd,"This is the largest pregnancy and maternity store for strollers, cots, car seats and more. Website: https://www.mummysmarket.com.sg/.",Unknown,zcrm_3877682000000271026
Micro scooters,https://www.whiteandblacktrading.com/micro-scooters/?srsltid=AfmBOopUTU7yRqtcW1pMjJn_dQuCKJuchEQgMWwruNKaoxyx_lODvVSM,nan,+65 9187 0552,Not found,info@whiteandblacktrading.com,"https://www.instagram.com/microscooters.sg/?hl=en, https://www.facebook.com/microscooters.sg/",Not found,Forced CSV fallback,zcrm_3877682000000271043
Play Facto,https://playfactoschool.com.sg/contact-us/,nan,+65 9773 4336,Not found,enquiry@playfactoschool.com.sg,"https://www.facebook.com/playfactoschool/posts/-playfacto-school-tengah-cc-booth-22-march-2025-9am12pm-tengah-cc-singapore-6901/1088486739962922/, https://www.instagram.com/p/DHSKl7EyBOm/?hl=en, https://www.facebook.com/playfactoschool/",Not found,Forced CSV fallback,zcrm_3877682000000321018
Shiok! Kitchen Catering,https://shiokkitchencatering.com.sg/?srsltid=AfmBOoqQFtkyqmg29R0Ixam0HBUXWfz91fWAZcywFR0jm3IcBYhki6ed,nan,6411 6999,Not found,sales@skcatering.com,"https://www.facebook.com/SKCatering.sg/, https://www.instagram.com/shiokkitchensg/?hl=en",Questions or Ready to Order Online? Chat with our AI Assistant or Submit a Form. Bring Your Culinary Vision to Life for a Corporate or Social Event with Us.,Forced CSV fallback,zcrm_3877682000000321054
LittleBigShots,https://recordowl.com/company/little-big-shots-s-pte-ltd,nan,81893446,Not found,Not found,"https://www.instagram.com/p/CXNEDb6vzpZ/, https://www.facebook.com/mediacorp/videos/little-big-shots-math-genius-miguel/385593805534690/, https://www.instagram.com/littlebigshots.sg/, https://www.facebook.com/littlebigshots.sg/",PM us at 81893446 for more details 😉 Stay tune 😌,Forced CSV fallback,zcrm_3877682000000321068
Naoki Trading,https://www.sgpbusiness.com/company/Naoki-Trading,224C SUMANG LANE,-8551,Not found,yamanaoki.uenoyama@nagase.co.jp,https://www.facebook.com/SGFoodAgency/photos/food-recallsfas-continued-market-surveillance-on-infant-food-products-has-detect/572617354992579/,"Trading Company dealing in Chemicals, Speciality chemical for plastics, coatings, water treatment, pharmaceutical, lubricants, etc.",Similarity 0.80,zcrm_3877682000000331026
Ergoworks (Impact Lifestyle),https://ergoworks.com.sg/pages/contact-us?srsltid=AfmBOor30PaGvwiBPdJlXFWoC07wX93Yp42er-qqAdDv1JkVKKoQmsws,nan,+65 6837 3370,Not found,enquiry@ergoworks.com.sg,"https://www.instagram.com/ergoworksglobal/?hl=en, https://www.facebook.com/Ergoworkssg/, https://sg.linkedin.com/company/ergoworksglobal","We'd love to hear from you! No worry, it's FREE to say hi! Enquiry Type *. Please Select, General Enquiries, Collaboration, Corporate Enquiries, Leasing ...",Forced CSV fallback,zcrm_3877682000000338001
Yunomori Onsen & Spa,https://www.yunomorionsen.com/contact-us/,nan,6385 7984,Not found,info@yunomorionsen.com.sg,https://www.facebook.com/yunomorisingapore/,Not found,Forced CSV fallback,zcrm_3877682000000338024
